Structure of the permanent resident population by canton, on 31.12.2023;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Uri;37.931 ;7.542 ;21.992 ;8.397 ;19.342 ;18.589 ;32.289 ;5.642 ;16.367 ;17.233 ;1.988 ;2.310 ;6 ;21 ;5 ;23.359 ;10.126 ;4.446 
Schwyz;167.403 ;32.139 ;102.749 ;32.515 ;85.877 ;81.526 ;127.559 ;39.844 ;73.397 ;72.077 ;7.355 ;14.353 ;8 ;155 ;51 ;101.578 ;35.878 ;29.947 
Obwalden;39.272 ;7.780 ;23.288 ;8.204 ;19.849 ;19.423 ;32.835 ;6.437 ;17.392 ;17.066 ;1.877 ;2.902 ;1 ;25 ;5 ;10.742 ;0 ;28.530 
Nidwalden;45.016 ;8.067 ;26.836 ;10.113 ;23.024 ;21.992 ;37.232 ;7.784 ;19.544 ;19.433 ;2.099 ;3.888 ;2 ;32 ;5 ;16.351 ;6.187 ;22.478 
Zug;132.556 ;26.580 ;81.878 ;24.098 ;67.179 ;65.377 ;92.423 ;40.133 ;58.927 ;57.557 ;5.106 ;10.718 ;13 ;183 ;49 ;121.438 ;11.118 ;0 
Ticino;357.720 ;62.877 ;210.178 ;84.665 ;174.159 ;183.561 ;253.794 ;103.926 ;156.417 ;146.114 ;21.299 ;33.388 ;49 ;342 ;100 ;254.996 ;77.467 ;25.257 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2023";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2022;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.815.385 ;1.755.213 ;5.368.549 ;1.691.623 ;4.379.953 ;4.435.432 ;6.519.362 ;2.296.023 ;4.024.051 ;3.589.295 ;402.798 ;780.357 ;647 ;14.293 ;3.682 ;5.547.579 ;1.932.177 ;1.335.629 
Lake Geneva region;1.701.827 ;358.186 ;1.046.653 ;296.988 ;835.051 ;866.776 ;1.130.600 ;571.227 ;816.952 ;649.510 ;72.194 ;158.686 ;228 ;3.360 ;849 ;1.176.727 ;363.754 ;161.346 
Vaud;830.431 ;180.828 ;510.764 ;138.839 ;408.209 ;422.222 ;554.772 ;275.659 ;405.980 ;313.352 ;33.611 ;75.333 ;83 ;1.646 ;405 ;511.867 ;232.420 ;86.144 
Valais;357.282 ;68.941 ;215.062 ;73.279 ;177.835 ;179.447 ;272.671 ;84.611 ;157.310 ;148.115 ;18.653 ;32.679 ;38 ;373 ;100 ;196.906 ;85.174 ;75.202 
Geneva;514.114 ;108.417 ;320.827 ;84.870 ;249.007 ;265.107 ;303.157 ;210.957 ;253.662 ;188.043 ;19.930 ;50.674 ;107 ;1.341 ;344 ;467.954 ;46.160 ;0 
Espace Mittelland;1.918.746 ;379.054 ;1.144.199 ;395.493 ;948.765 ;969.981 ;1.536.189 ;382.557 ;862.111 ;781.413 ;95.513 ;176.418 ;121 ;2.438 ;678 ;958.079 ;513.602 ;447.065 
Bern;1.051.437 ;200.509 ;620.777 ;230.151 ;516.805 ;534.632 ;872.661 ;178.776 ;469.022 ;431.354 ;54.214 ;94.967 ;57 ;1.389 ;416 ;551.861 ;234.361 ;265.215 
Fribourg;334.465 ;73.118 ;205.729 ;55.618 ;167.569 ;166.896 ;255.175 ;79.290 ;157.683 ;133.499 ;13.755 ;28.986 ;28 ;405 ;99 ;108.282 ;140.065 ;86.118 
Solothurn;282.408 ;54.189 ;169.758 ;58.461 ;141.168 ;141.240 ;214.403 ;68.005 ;120.412 ;121.474 ;14.045 ;25.990 ;13 ;367 ;83 ;169.914 ;72.522 ;39.972 
Neuchâtel;176.571 ;36.157 ;105.474 ;34.940 ;86.657 ;89.914 ;131.328 ;45.243 ;82.116 ;65.602 ;9.140 ;19.433 ;13 ;205 ;61 ;103.225 ;51.728 ;21.618 
Jura;73.865 ;15.081 ;42.461 ;16.323 ;36.566 ;37.299 ;62.622 ;11.243 ;32.878 ;29.484 ;4.359 ;7.042 ;10 ;72 ;19 ;24.797 ;14.926 ;34.142 
Northwest Switzerland;1.202.435 ;236.134 ;727.022 ;239.279 ;598.131 ;604.304 ;872.250 ;330.185 ;528.247 ;509.976 ;56.395 ;105.374 ;66 ;1.905 ;437 ;785.150 ;309.970 ;107.315 
Basel-Stadt;196.786 ;34.516 ;123.376 ;38.894 ;95.937 ;100.849 ;123.465 ;73.321 ;98.160 ;69.212 ;9.522 ;19.145 ;21 ;598 ;121 ;196.786 ;0 ;0 
Basel-Landschaft;294.417 ;56.709 ;170.422 ;67.286 ;144.441 ;149.976 ;223.876 ;70.541 ;121.799 ;130.051 ;15.814 ;26.126 ;13 ;504 ;104 ;199.822 ;87.691 ;6.904 
Aargau;711.232 ;144.909 ;433.224 ;133.099 ;357.753 ;353.479 ;524.909 ;186.323 ;308.288 ;310.713 ;31.059 ;60.103 ;32 ;803 ;212 ;388.542 ;222.279 ;100.411 
Zurich;1.579.967 ;312.392 ;994.624 ;272.951 ;788.846 ;791.121 ;1.141.651 ;438.316 ;756.713 ;619.417 ;61.890 ;136.723 ;83 ;3.970 ;1.124 ;1.221.626 ;347.932 ;10.409 
Eastern Switzerland;1.217.015 ;240.361 ;732.845 ;243.809 ;612.142 ;604.873 ;922.217 ;294.798 ;527.723 ;523.754 ;58.432 ;105.541 ;54 ;1.188 ;280 ;660.548 ;209.104 ;347.363 
Glarus;41.471 ;7.968 ;24.758 ;8.745 ;20.975 ;20.496 ;30.918 ;10.553 ;17.630 ;17.889 ;2.258 ;3.638 ;2 ;44 ;9 ;31.943 ;0 ;9.528 
Schaffhausen;85.214 ;16.063 ;50.430 ;18.721 ;42.318 ;42.896 ;62.066 ;23.148 ;35.698 ;36.956 ;4.518 ;7.887 ;3 ;121 ;27 ;48.606 ;27.907 ;8.701 
Appenzell A. Rh.;55.759 ;11.365 ;32.747 ;11.647 ;28.114 ;27.645 ;46.395 ;9.364 ;24.016 ;23.935 ;2.744 ;4.983 ;1 ;66 ;14 ;15.744 ;26.922 ;13.093 
Appenzell I. Rh.;16.416 ;3.392 ;9.674 ;3.350 ;8.408 ;8.008 ;14.510 ;1.906 ;7.420 ;7.045 ;855 ;1.083 ;1 ;9 ;3 ;0 ;0 ;16.416 
St. Gallen;525.967 ;107.360 ;318.282 ;100.325 ;264.521 ;261.446 ;392.009 ;133.958 ;231.778 ;224.539 ;24.426 ;44.592 ;20 ;470 ;111 ;364.320 ;68.936 ;92.711 
Graubünden;202.538 ;35.349 ;121.064 ;46.125 ;101.760 ;100.778 ;162.686 ;39.852 ;87.011 ;86.944 ;10.737 ;17.628 ;15 ;157 ;42 ;66.483 ;24.663 ;111.392 
Thurgau;289.650 ;58.864 ;175.890 ;54.896 ;146.046 ;143.604 ;213.633 ;76.017 ;124.170 ;126.446 ;12.894 ;25.730 ;12 ;321 ;74 ;133.452 ;60.676 ;95.522 
Central Switzerland;841.372 ;166.893 ;514.866 ;159.613 ;424.681 ;416.691 ;661.858 ;179.514 ;379.110 ;359.041 ;37.017 ;64.854 ;52 ;1.043 ;222 ;493.605 ;110.895 ;236.872 
Lucerne;424.851 ;85.932 ;260.162 ;78.757 ;212.021 ;212.830 ;340.582 ;84.269 ;196.755 ;176.873 ;18.845 ;31.692 ;27 ;520 ;127 ;223.366 ;48.728 ;152.757 
Uri;37.317 ;7.362 ;21.811 ;8.144 ;19.007 ;18.310 ;32.224 ;5.093 ;16.026 ;17.082 ;1.973 ;2.200 ;6 ;25 ;5 ;22.995 ;9.998 ;4.324 
Schwyz;164.920 ;31.575 ;101.903 ;31.442 ;84.722 ;80.198 ;127.120 ;37.800 ;72.025 ;71.493 ;7.227 ;13.926 ;4 ;197 ;44 ;100.253 ;35.258 ;29.409 
Obwalden;38.700 ;7.638 ;23.137 ;7.925 ;19.574 ;19.126 ;32.652 ;6.048 ;17.104 ;16.975 ;1.823 ;2.767 ;1 ;25 ;4 ;10.654 ;0 ;28.046 
Nidwalden;44.420 ;7.906 ;26.689 ;9.825 ;22.783 ;21.637 ;37.150 ;7.270 ;19.240 ;19.214 ;2.064 ;3.839 ;2 ;44 ;4 ;16.062 ;6.022 ;22.336 
Zug;131.164 ;26.480 ;81.164 ;23.520 ;66.574 ;64.590 ;92.130 ;39.034 ;57.960 ;57.404 ;5.085 ;10.430 ;12 ;232 ;38 ;120.275 ;10.889 ;0 
Ticino;354.023 ;62.193 ;208.340 ;83.490 ;172.337 ;181.686 ;254.597 ;99.426 ;153.195 ;146.184 ;21.357 ;32.761 ;43 ;389 ;92 ;251.844 ;76.920 ;25.259 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2022";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2021;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.738.791 ;1.742.898 ;5.334.574 ;1.661.319 ;4.338.203 ;4.400.588 ;6.494.610 ;2.244.181 ;3.963.699 ;3.580.260 ;403.549 ;767.336 ;636 ;19.705 ;3.343 ;5.497.342 ;1.908.838 ;1.332.611 
Lake Geneva region;1.685.625 ;355.581 ;1.037.507 ;292.537 ;826.704 ;858.921 ;1.124.459 ;561.166 ;802.549 ;649.059 ;72.504 ;156.154 ;210 ;4.310 ;789 ;1.165.784 ;359.974 ;159.867 
Vaud;822.968 ;179.789 ;506.501 ;136.678 ;404.311 ;418.657 ;550.447 ;272.521 ;399.014 ;313.418 ;33.901 ;74.074 ;77 ;2.076 ;386 ;506.885 ;230.723 ;85.360 
Valais;353.209 ;68.414 ;213.030 ;71.765 ;175.475 ;177.734 ;271.208 ;82.001 ;154.332 ;147.735 ;18.537 ;31.922 ;31 ;554 ;83 ;194.781 ;83.921 ;74.507 
Geneva;509.448 ;107.378 ;317.976 ;84.094 ;246.918 ;262.530 ;302.804 ;206.644 ;249.203 ;187.906 ;20.066 ;50.158 ;102 ;1.680 ;320 ;464.118 ;45.330 ;0 
Espace Mittelland;1.907.491 ;377.165 ;1.141.731 ;388.595 ;942.630 ;964.861 ;1.532.757 ;374.734 ;851.601 ;782.070 ;96.071 ;173.602 ;125 ;3.347 ;620 ;952.809 ;509.515 ;445.167 
Bern;1.047.473 ;199.744 ;621.199 ;226.530 ;514.609 ;532.864 ;871.624 ;175.849 ;464.576 ;432.225 ;54.602 ;93.639 ;58 ;1.965 ;389 ;549.964 ;233.241 ;264.268 
Fribourg;329.809 ;72.292 ;203.367 ;54.150 ;165.058 ;164.751 ;253.020 ;76.789 ;154.328 ;132.883 ;13.684 ;28.252 ;26 ;546 ;79 ;106.310 ;137.898 ;85.601 
Solothurn;280.245 ;53.622 ;169.413 ;57.210 ;140.047 ;140.198 ;213.728 ;66.517 ;118.971 ;120.954 ;14.088 ;25.620 ;15 ;489 ;84 ;168.651 ;71.932 ;39.662 
Neuchâtel;176.166 ;36.347 ;105.216 ;34.603 ;86.394 ;89.772 ;131.653 ;44.513 ;81.073 ;66.304 ;9.297 ;19.176 ;14 ;251 ;51 ;103.187 ;51.500 ;21.479 
Jura;73.798 ;15.160 ;42.536 ;16.102 ;36.522 ;37.276 ;62.732 ;11.066 ;32.653 ;29.704 ;4.400 ;6.915 ;12 ;96 ;17 ;24.697 ;14.944 ;34.157 
Northwest Switzerland;1.191.939 ;233.565 ;723.704 ;234.670 ;592.477 ;599.462 ;868.904 ;323.035 ;520.749 ;507.988 ;56.414 ;103.628 ;67 ;2.667 ;395 ;779.365 ;299.616 ;112.958 
Basel-Stadt;196.036 ;34.337 ;122.872 ;38.827 ;95.406 ;100.630 ;123.872 ;72.164 ;96.818 ;69.509 ;9.702 ;19.076 ;21 ;795 ;110 ;196.036 ;0 ;0 
Basel-Landschaft;292.817 ;56.267 ;170.238 ;66.312 ;143.638 ;149.179 ;223.507 ;69.310 ;120.231 ;130.332 ;15.822 ;25.616 ;11 ;715 ;88 ;198.771 ;87.178 ;6.868 
Aargau;703.086 ;142.961 ;430.594 ;129.531 ;353.433 ;349.653 ;521.525 ;181.561 ;303.700 ;308.147 ;30.890 ;58.936 ;35 ;1.157 ;197 ;384.558 ;212.438 ;106.090 
Zurich;1.564.662 ;310.609 ;984.746 ;269.307 ;780.245 ;784.417 ;1.136.406 ;428.256 ;743.633 ;616.559 ;62.153 ;135.482 ;80 ;5.686 ;1.017 ;1.208.239 ;346.094 ;10.329 
Eastern Switzerland;1.203.715 ;237.971 ;727.612 ;238.132 ;604.645 ;599.070 ;918.232 ;285.483 ;519.619 ;520.646 ;58.198 ;103.195 ;58 ;1.733 ;232 ;652.656 ;207.081 ;343.978 
Glarus;41.190 ;7.889 ;24.747 ;8.554 ;20.812 ;20.378 ;30.891 ;10.299 ;17.476 ;17.824 ;2.293 ;3.530 ;2 ;56 ;9 ;31.700 ;0 ;9.490 
Schaffhausen;83.995 ;15.831 ;49.828 ;18.336 ;41.608 ;42.387 ;61.688 ;22.307 ;34.957 ;36.677 ;4.509 ;7.661 ;2 ;162 ;26 ;47.770 ;27.558 ;8.667 
Appenzell A. Rh.;55.585 ;11.313 ;32.862 ;11.410 ;27.993 ;27.592 ;46.368 ;9.217 ;23.785 ;23.954 ;2.763 ;4.973 ;1 ;99 ;10 ;15.679 ;26.853 ;13.053 
Appenzell I. Rh.;16.360 ;3.417 ;9.616 ;3.327 ;8.389 ;7.971 ;14.479 ;1.881 ;7.387 ;7.051 ;855 ;1.056 ;1 ;8 ;2 ;0 ;0 ;16.360 
St. Gallen;519.245 ;106.272 ;314.899 ;98.074 ;260.651 ;258.594 ;389.811 ;129.434 ;227.645 ;222.885 ;24.278 ;43.581 ;26 ;714 ;86 ;359.447 ;68.123 ;91.675 
Graubünden;201.376 ;35.248 ;121.024 ;45.104 ;101.045 ;100.331 ;162.520 ;38.856 ;86.183 ;86.950 ;10.737 ;17.216 ;14 ;239 ;34 ;66.054 ;24.667 ;110.655 
Thurgau;285.964 ;58.001 ;174.636 ;53.327 ;144.147 ;141.817 ;212.475 ;73.489 ;122.186 ;125.305 ;12.763 ;25.178 ;12 ;455 ;65 ;132.006 ;59.880 ;94.078 
Central Switzerland;833.178 ;165.651 ;511.804 ;155.723 ;420.053 ;413.125 ;659.542 ;173.636 ;374.188 ;357.169 ;36.925 ;63.156 ;53 ;1.442 ;206 ;488.495 ;109.752 ;234.931 
Lucerne;420.326 ;85.214 ;258.090 ;77.022 ;209.465 ;210.861 ;339.079 ;81.247 ;193.764 ;176.065 ;18.815 ;30.803 ;26 ;720 ;121 ;220.641 ;48.133 ;151.552 
Uri;37.047 ;7.366 ;21.709 ;7.972 ;18.844 ;18.203 ;32.143 ;4.904 ;15.941 ;16.965 ;1.981 ;2.112 ;6 ;37 ;5 ;22.782 ;9.933 ;4.332 
Schwyz;163.689 ;31.400 ;101.748 ;30.541 ;84.061 ;79.628 ;126.855 ;36.834 ;71.384 ;71.177 ;7.192 ;13.603 ;5 ;284 ;41 ;99.436 ;35.041 ;29.212 
Obwalden;38.435 ;7.612 ;23.127 ;7.696 ;19.454 ;18.981 ;32.623 ;5.812 ;16.930 ;16.937 ;1.831 ;2.680 ;1 ;50 ;4 ;10.650 ;0 ;27.785 
Nidwalden;43.894 ;7.860 ;26.489 ;9.545 ;22.488 ;21.406 ;37.080 ;6.814 ;18.935 ;19.078 ;2.075 ;3.721 ;2 ;60 ;4 ;16.027 ;5.817 ;22.050 
Zug;129.787 ;26.199 ;80.641 ;22.947 ;65.741 ;64.046 ;91.762 ;38.025 ;57.234 ;56.947 ;5.031 ;10.237 ;13 ;291 ;31 ;118.959 ;10.828 ;0 
Ticino;352.181 ;62.356 ;207.470 ;82.355 ;171.449 ;180.732 ;254.310 ;97.871 ;151.360 ;146.769 ;21.284 ;32.119 ;43 ;520 ;84 ;249.994 ;76.806 ;25.381 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2021";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2020;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.670.300 ;1.726.301 ;5.314.329 ;1.629.670 ;4.302.599 ;4.367.701 ;6.459.512 ;2.210.788 ;3.903.333 ;3.588.894 ;403.471 ;751.735 ;617 ;19.022 ;2.981 ;5.459.871 ;1.892.586 ;1.317.843 
Lake Geneva region;1.669.608 ;352.457 ;1.029.714 ;287.437 ;818.492 ;851.116 ;1.115.756 ;553.852 ;786.918 ;652.560 ;72.456 ;152.562 ;197 ;4.166 ;693 ;1.154.478 ;357.221 ;157.909 
Vaud;814.762 ;178.201 ;502.049 ;134.512 ;400.217 ;414.545 ;544.045 ;270.717 ;390.456 ;315.488 ;33.856 ;72.495 ;74 ;2.046 ;322 ;502.562 ;227.934 ;84.266 
Valais;348.503 ;67.768 ;210.723 ;70.012 ;172.955 ;175.548 ;268.980 ;79.523 ;150.781 ;147.805 ;18.447 ;30.828 ;32 ;514 ;80 ;190.528 ;84.332 ;73.643 
Geneva;506.343 ;106.488 ;316.942 ;82.913 ;245.320 ;261.023 ;302.731 ;203.612 ;245.681 ;189.267 ;20.153 ;49.239 ;91 ;1.606 ;291 ;461.388 ;44.955 ;0 
Espace Mittelland;1.895.693 ;374.276 ;1.140.813 ;380.604 ;936.569 ;959.124 ;1.526.914 ;368.779 ;840.219 ;785.146 ;96.427 ;169.945 ;118 ;3.232 ;550 ;947.795 ;508.274 ;439.624 
Bern;1.043.132 ;198.135 ;622.565 ;222.432 ;512.300 ;530.832 ;869.681 ;173.451 ;459.553 ;434.188 ;54.891 ;92.148 ;55 ;1.922 ;355 ;548.169 ;231.971 ;262.992 
Fribourg;325.496 ;71.566 ;201.329 ;52.601 ;162.985 ;162.511 ;250.287 ;75.209 ;151.140 ;132.998 ;13.544 ;27.196 ;26 ;515 ;64 ;105.813 ;137.812 ;81.871 
Solothurn;277.462 ;52.851 ;168.974 ;55.637 ;138.626 ;138.836 ;212.535 ;64.927 ;117.216 ;120.496 ;14.082 ;25.090 ;14 ;466 ;75 ;167.217 ;71.077 ;39.168 
Neuchâtel;175.894 ;36.481 ;105.285 ;34.128 ;86.184 ;89.710 ;131.671 ;44.223 ;79.901 ;67.413 ;9.456 ;18.822 ;13 ;246 ;43 ;101.854 ;52.618 ;21.422 
Jura;73.709 ;15.243 ;42.660 ;15.806 ;36.474 ;37.235 ;62.740 ;10.969 ;32.409 ;30.051 ;4.454 ;6.689 ;10 ;83 ;13 ;24.742 ;14.796 ;34.171 
Northwest Switzerland;1.181.776 ;230.414 ;721.349 ;230.013 ;587.202 ;594.574 ;863.570 ;318.206 ;512.675 ;508.144 ;56.434 ;101.449 ;65 ;2.642 ;340 ;775.204 ;295.878 ;110.694 
Basel-Stadt;196.735 ;34.218 ;123.788 ;38.729 ;95.621 ;101.114 ;124.151 ;72.584 ;96.080 ;70.666 ;9.966 ;19.112 ;21 ;791 ;95 ;196.735 ;0 ;0 
